Year,Month,Prefecture,Tourist (Japan)
2009,Oct,Chiba,455813
2009,Nov,Chiba,380067
2009,Dec,Chiba,493985
2010,Jan,Chiba,437752
2010,Feb,Chiba,514106
2010,Mar,Chiba,484298
2010,Apr,Chiba,601872
2010,May,Chiba,536880
2010,Jun,Chiba,511123
2010,Jul,Chiba,714623
2010,Aug,Chiba,613413
2010,Sep,Chiba,498421
2010,Oct,Chiba,507872
2010,Nov,Chiba,435315
2010,Dec,Chiba,506299
2011,Jan,Chiba,505543
2011,Feb,Chiba,506441
2011,Mar,Chiba,190730
2011,Apr,Chiba,108820
2011,May,Chiba,183799
2011,Jun,Chiba,282118
2011,Jul,Chiba,396559
2011,Aug,Chiba,373195
2011,Sep,Chiba,323947
2011,Oct,Chiba,404377
2011,Nov,Chiba,358056
2011,Dec,Chiba,423650
2012,Jan,Chiba,486156
2012,Feb,Chiba,364800
2012,Mar,Chiba,452710
2012,Apr,Chiba,582655
2012,May,Chiba,473792
2012,Jun,Chiba,511443
2012,Jul,Chiba,666603
2012,Aug,Chiba,592809
2012,Sep,Chiba,430025
2012,Oct,Chiba,480255
2012,Nov,Chiba,455666
2012,Dec,Chiba,544731
2013,Jan,Chiba,456009
2013,Feb,Chiba,559949
2013,Mar,Chiba,624502
2013,Apr,Chiba,719277
2013,May,Chiba,676551
2013,Jun,Chiba,720877
2013,Jul,Chiba,819985
2013,Aug,Chiba,716059
2013,Sep,Chiba,627679
2013,Oct,Chiba,702911
2013,Nov,Chiba,628688
2013,Dec,Chiba,710030
2014,Jan,Chiba,730519
2014,Feb,Chiba,688902
2014,Mar,Chiba,802434
2014,Apr,Chiba,1020474
2014,May,Chiba,892577
2014,Jun,Chiba,866883
2014,Jul,Chiba,1080552
2014,Aug,Chiba,903919
2014,Sep,Chiba,846241
2014,Oct,Chiba,1029922
2014,Nov,Chiba,943831
2014,Dec,Chiba,1074350
2015,Jan,Chiba,978476
2015,Feb,Chiba,1207242
2015,Mar,Chiba,1236489
2015,Apr,Chiba,1528848
2015,May,Chiba,1411626
2015,Jun,Chiba,1398845
2015,Jul,Chiba,1712803
2015,Aug,Chiba,1584484
2015,Sep,Chiba,1346488
2015,Oct,Chiba,1564772
2015,Nov,Chiba,1399516
2015,Dec,Chiba,1599537
2016,Jan,Chiba,1579364
2016,Feb,Chiba,1670948
2016,Mar,Chiba,1726361
2016,Apr,Chiba,1825694
2016,May,Chiba,1640187
2016,Jun,Chiba,1773111
2016,Jul,Chiba,2069994
2016,Aug,Chiba,1802381
2016,Sep,Chiba,1631531
2016,Oct,Chiba,1848153
2016,Nov,Chiba,1617057
2016,Dec,Chiba,1864895
2017,Jan,Chiba,2006775
2017,Feb,Chiba,1791122
2017,Mar,Chiba,1898944
2017,Apr,Chiba,2300476
2017,May,Chiba,2020226
2017,Jun,Chiba,2117253
2017,Jul,Chiba,2426074
2017,Aug,Chiba,2208644
2017,Sep,Chiba,1965310
2017,Oct,Chiba,2289918
2017,Nov,Chiba,2100951
2017,Dec,Chiba,2315900
2018,Jan,Chiba,2171045
2018,Feb,Chiba,2280872
2018,Mar,Chiba,2283596
2018,Apr,Chiba,2603797
2018,May,Chiba,2391395
2018,Jun,Chiba,2454154
2018,Jul,Chiba,2564205
2018,Aug,Chiba,2295775
2018,Sep,Chiba,1836045
2018,Oct,Chiba,2310354
2018,Nov,Chiba,2162583
2018,Dec,Chiba,2412291
2019,Jan,Chiba,2345029
2019,Feb,Chiba,2341479
2019,Mar,Chiba,2411650
2019,Apr,Chiba,2640569
